id,scale,size,algorithm,sampleNum,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
5,1x1,0.5,standard,32,0.6,0.763636,0.8,0.8,0.854545,0.854545,0.872727,0.872727,0.890909,0.927273
5,1x1,0.5,DTW,32,0.618182,0.836364,0.872727,0.872727,0.909091,0.945455,0.945455,0.945455,0.945455,0.963636
5,1x1,0.75,standard,32,0.568966,0.741379,0.810345,0.827586,0.827586,0.827586,0.827586,0.862069,0.896552,0.896552
5,1x1,0.75,DTW,32,0.689655,0.793103,0.862069,0.87931,0.87931,0.913793,0.913793,0.931034,0.931034,0.931034
5,1x1,1,standard,32,0.566038,0.679245,0.735849,0.773585,0.830189,0.849057,0.867925,0.886792,0.924528,0.943396
5,1x1,1,DTW,32,0.735849,0.830189,0.830189,0.867925,0.886792,0.886792,0.886792,0.886792,0.886792,0.886792
5,1x3,0.5,standard,32,0.654545,0.781818,0.854545,0.927273,0.945455,0.981818,0.981818,0.981818,1,1
5,1x3,0.5,DTW,32,0.672727,0.8,0.854545,0.927273,0.963636,0.963636,0.963636,0.981818,0.981818,0.981818
5,1x3,0.75,standard,32,0.655172,0.827586,0.931034,0.948276,0.965517,0.965517,0.965517,0.965517,0.965517,0.965517
5,1x3,0.75,DTW,32,0.706897,0.793103,0.844828,0.896552,0.948276,0.948276,0.965517,0.965517,0.965517,0.965517
5,1x3,1,standard,32,0.660377,0.849057,0.90566,0.90566,0.90566,0.90566,0.924528,0.943396,0.943396,0.943396
5,1x3,1,DTW,32,0.735849,0.830189,0.886792,0.90566,0.924528,0.924528,0.924528,0.943396,0.962264,0.962264
